codigo_centro,nome_centro,coord,instit,website,nr_inv,nr_phd,nr_phd_int,nr_grupos,aval_2007
MAR-Algarve-Faro-350,Centro de Investigação Marinha e Ambiental (CIMA),Tomasz Boski,Universidade do Algarve,http://cima.ualg.pt/,107,43,26,10,Good
MAR-LVT-Lisboa-199,Centro de Oceanografia,Isabel Ambar,Fundação da Faculdade de Ciências - Faculdade de Ciências da Universidade de Lisboa,http://www.io.fc.ul.pt/,122,36,33,5,Very Good
MAR-Centro-Coimbra-284,IMAR- Centro Interdisciplinar de Coimbra,João Carlos Marques,Instituto do Mar,http://www.uc.pt/imar/,189,84,78,9,Very Good
MAR-LVT-Lisboa-331,Unidade de Investigação em Eco-Etologia,Vitor Manuel Carvalho Almada,Instituto Superior de Psicologia Aplicada,http://www.ispa.pt/ui/uie/,30,15,13,2,Excellent
ENVS-LVT-Almada-4085,CENSE - Center for ENvironmental and Sustainability rEsearch,Maria Paula Baptista da Costa Antunes,Faculdade de Ciências e Tecnologia - Universidade Nova de Lisboa,http://cense.fct.unl.pt,56,20,15,4,Excellent
ENVS-LVT-Lisboa-4006,"Laboratório de Sistemas, Instrumentação e Modelação em Ciências e Tecnologias do Ambiente e do Espaço - SIM",Filipe Duarte Santos,Fundação da Faculdade de Ciências - Faculdade de Ciências da Universidade de Lisboa,http://www.sim.fc.ul.pt,29,12,10,2,Very Good
AGR-LVT-Lisboa-240,Centro de Botânica Aplicada à Agricultura,Wanda Viegas,Instituto Superior de Agronomia - Universidade Técnica de Lisboa,http://www.isa.utl.pt/cbaa/,39,39,39,4,Very Good
AGR-Norte-VilaReal-772,Centro de Ciência Animal e Veterinária (CECAV),Arnaldo Alves Dias da Silva,Universidade de Trás-os-Montes e Alto Douro,http://home.utad.pt/~cecav/,63,43,37,9,Good
AGR-Algarve-Faro-52,Centro de Desenvolvimento de Ciências e Técnicas de Produção Vegetal,Pedro José Realinho Gonçalves Correia,Universidade do Algarve,http://www.ualg.pt/cdctpv,71,54,16,6,Fair
AGR-LVT-Lisboa-520,Centro de Ecologia Aplicada Prof. Baeta Neves,Francisco Manuel Cardoso Castro Rego,Instituto Superior de Agronomia - Universidade Técnica de Lisboa,http://www.isa.utl.pt/ceabn/content/1/1/homepage,33,8,7,5,Very Good
AGR-Norte-Porto-211,Centro de Estudos de Ciência Animal,José Manuel Alves Correia da Costa,Instituto de Ciências e Tecnologias Agrárias e Agro-Alimentares - Porto - Universidade do Porto,http://www.ceca.up.pt/,42,19,12,4,Very Good
AGR-LVT-Lisboa-245,Centro de Estudos de Engenharia Rural,Luis Santos Pereira,Instituto Superior de Agronomia - Universidade Técnica de Lisboa,http://www.isa.utl.pt/der/ceer/,70,44,32,3,Very Good
AGR-Centro-Coimbra-681,"Centro de Estudos de Recursos Naturais, Ambiente e Sociedade - CERNAS",Manuel Fernando de Miranda Páscoa,Escola Superior Agrária de Coimbra - Instituto Politécnico de Coimbra,http://www.esac.pt/cernas/mapa_do_site.htm,117,59,42,5,Good
